owner,city,category,title,description,location,price_day,deposit_type,deposit_amount,quantity,handover,status,photos
sergey,yablonovskiy,Инструменты / Электроинструменты,Перфоратор Bosch GBH 2-26 DFR,"Рабочая лошадка для бетона: вешал на нём кухни, карнизы, водонагреватели. В кейсе идут три бура по бетону (6, 8, 10 мм), зубило и запасные щётки. Быстросъёмный патрон — можно сверлить и обычным сверлом по дереву, переходник не нужен. Если раньше не держали перфоратор в руках, покажу, как ставить бур и на каком режиме работать.",ул. Гагарина,550,money,3000,3,pickup,active,drill-bosch-1.webp;drill-bosch-2.webp
sergey,yablonovskiy,Инструменты / Электроинструменты,Шуруповёрт Makita DF333D с двумя АКБ,"Две батареи на 2 Ач: пока одна работает, вторая заряжается — на сборку шкафа хватает с запасом. Комплект бит на 32 позиции в комплекте. Лёгкий, 1,1 кг, женщине держать над головой не тяжело.",ул. Гагарина,300,money,2000,5,pickup,active,screwdriver-1.webp
sergey,yablonovskiy,Инструменты / Электроинструменты,Болгарка DeWalt 125 мм,"Под круг 125, ручка перекидная на обе стороны. Отдаю с защитным кожухом и ключом, круги свои — отрезной по металлу могу дать один в подарок, дальше покупайте, они копеечные. Очки и перчатки обязательны, у меня их нет.",ул. Гагарина,350,money,2500,2,pickup,active,grinder-1.webp
sergey,yablonovskiy,Инструменты / Электроинструменты,Лобзик Bosch PST 900 PEL,"Пилит ЛДСП, фанеру, тонкий металл. Есть подсветка и сдув опилок — видно линию реза, не надо каждые десять секунд дуть на заготовку. Даю четыре пилки: две по дереву, одна чистого реза для ламината, одна по металлу.",ул. Гагарина,350,money,2000,2,pickup,active,jigsaw-1.webp
sergey,yablonovskiy,Инструменты / Электроинструменты,Виброшлифмашина Makita BO3711,"Для стен под покраску и шкурения дверей. Пылесборник есть, но пыли всё равно будет много — берите респиратор. В комплекте десять листов наждачки разной зернистости, от 80 до 240.",ул. Гагарина,300,money,1500,2,pickup,active,sander-1.webp;sander-2.webp
sergey,yablonovskiy,Инструменты / Электроинструменты,Сварочный инвертор Ресанта САИ-190,"Варит электродом до 4 мм, от обычной розетки тянет нормально, если провод не длиннее двадцати метров. В комплекте маска-хамелеон, держак, кабель массы и щётка по шву. Электроды свои — тройка самая ходовая.",ул. Гагарина,650,money,4000,2,pickup,active,welder-1.webp
sergey,yablonovskiy,Инструменты / Ручной инструмент,"Лазерный уровень Bosch, 3 линии 360°","Три плоскости сразу — под плитку, гипсокартон и подвесной потолок то, что нужно. Самовыравнивающийся, в кейсе штатив на 1,2 метра и очки для яркого света. Батарейки свои, пальчиковые.",ул. Гагарина,400,money,4000,2,pickup,active,laser-level-1.webp;laser-level-2.webp
sergey,yablonovskiy,Инструменты / Строительное оборудование,"Стремянка алюминиевая, 8 ступеней","Высота площадки 1,7 метра, до потолка в трёшке с запасом достаёт. Складывается плоско, в универсал ложится по диагонали. Самая ходовая вещь у меня — на выходные разбирают заранее.",ул. Гагарина,250,document,,4,pickup,active,ladder-1.webp
sergey,yablonovskiy,Инструменты / Ручной инструмент,"Набор инструментов, 108 предметов","Головки, ключи, отвёртки, трещотка — в кейсе, всё по местам. Пригодится, когда надо собрать мебель или подтянуть что-то в машине, а покупать целый набор ради одного раза жалко.",ул. Гагарина,250,money,2000,2,pickup,active,toolbox-1.webp
timur,yablonovskiy,Инструменты / Электроинструменты,Перфоратор Makita HR2470,"Брал на свой ремонт, ремонт закончился. Работает нормально, буры на 8 и на 10 в кейсе. Отдаю у подъезда после шести.",ЖК Радуга,450,money,3000,1,pickup,active,drill-makita-1.webp
timur,yablonovskiy,Дом и мероприятия / Уборочная техника,Мойка высокого давления Karcher K5,"Мою ей машину и плитку во дворе. Шланг восемь метров, грязевая фреза есть — она и делает всю работу. Воду можно брать из бочки, шланг с фильтром прилагается.",ЖК Радуга,700,money,4000,1,pickup,active,pressure-washer-1.webp;pressure-washer-2.webp
zaur,yablonovskiy,Инструменты / Садовая техника,Бензопила Stihl MS 180,"Шина 35 см. Пилил ей яблони у себя на участке, цепь острая. Масло для цепи налью, бензин ваш. Одному не работать — правило.",ул. Заводская,800,money,5000,1,pickup,active,chainsaw-1.webp
zaur,yablonovskiy,Инструменты / Садовая техника,Триммер электрический 1200 Вт,"Косит траву вдоль забора и под деревьями. Идёт с леской и с ножом. Удлинитель нужен свой, у меня короткий.",ул. Заводская,400,money,2000,2,pickup,active,trimmer-1.webp;trimmer-2.webp
egor,yablonovskiy,Инструменты / Строительное оборудование,Плиткорез электрический с водяным охлаждением,"Клал у себя керамогранит, машинка отработала весь санузел без нареканий. Режет до 12 мм без сколов. Резать лучше на балконе или во дворе: брызги мелкие, но летят везде.",ул. Шоссейная,550,money,3000,1,pickup,active,tile-cutter-1.webp;tile-cutter-2.webp
egor,yablonovskiy,Инструменты / Строительное оборудование,Тепловая пушка электрическая 3 кВт,"Сушил ей стяжку в феврале. Три режима, можно гонять просто вентилятором. Розетка нужна нормальная, от старой проводки выбивает автомат.",ул. Шоссейная,500,money,2500,1,pickup,active,heat-gun-1.webp
nikolay,yablonovskiy,Инструменты / Садовая техника,Газонокосилка бензиновая Husqvarna LC 140,"Захват сорок сантиметров, шесть высот скашивания, травосборник на пятьдесят литров. Косила у меня двенадцать соток восемь лет, ни разу не подводила. Заводится с первого рывка, если не забыть подкачать праймер — покажу. Могу подвезти по посёлку, если недалеко.",Центр,900,money,5000,1,pickup;delivery,active,lawnmower-1.webp;lawnmower-2.webp
zamir,yablonovskiy,Инструменты / Садовая техника,Мотобур со шнеками 150 и 200 мм,"Ставил им забор на участке. Вдвоём работать намного легче: в нашей глине один не удержит. Два шнека, удлинитель на полметра.",ул. Связи,1000,money,5000,1,pickup,active,auger-1.webp;auger-2.webp
vitaliy,yablonovskiy,Транспорт / Электросамокаты,Электросамокат Ninebot Max G30,"Запас хода реальный 45–55 км, на Яблоновский и по набережной Краснодара с большим запасом. Держит до 100 кг, колёса 10 дюймов надувные — бордюры и брусчатку проходит мягко. Заряжаю перед каждой выдачей, зарядка в комплекте. По посёлку подвожу к подъезду бесплатно.",ул. Гагарина,900,money,5000,5,pickup;delivery,active,escooter-ninebot-1.webp
vitaliy,yablonovskiy,Транспорт / Электросамокаты,"Электросамокат Kugoo M4 Pro, 18 Ач","Мощнее Ninebot, тянет в горку и держит до 120 кг. Запас хода до 60 км в экономе. Самокат тяжёлый, 22 кг — по лестнице на пятый этаж таскать не советую.",ул. Гагарина,1100,money,6000,3,pickup;delivery,active,escooter-kugoo-1.webp;escooter-kugoo-2.webp
vitaliy,yablonovskiy,Транспорт / Электросамокаты,"Детский электросамокат, до 60 кг","Для детей примерно с восьми лет. Скорость ограничена 15 км/ч — специально, чтобы родители не поседели. Шлем даю бесплатно, есть три размера.",ул. Гагарина,600,money,3000,4,pickup;delivery,active,escooter-kid-1.webp;escooter-kid-2.webp
vitaliy,yablonovskiy,Транспорт / Велосипеды,"Горный велосипед Trek Marlin 5, рама M","Ростовка под 170–180 см. Обслужен: цепь смазана, тормоза настроены, колёса подкачаны. Хорош для грунтовок вдоль Кубани и лесных дорог в Лаго-Наки. Даю насос и мультитул с собой.",ул. Гагарина,600,document,,6,pickup,active,mtb-1.webp;mtb-2.webp
vitaliy,yablonovskiy,Транспорт / Велосипеды,Городской велосипед с корзиной,"Прямая посадка, семь скоростей, крылья и багажник — по городу и набережной в самый раз, спина не устаёт. Есть замок и фонарь. Ростовка одна, под 160–180 см.",ул. Гагарина,450,document,,8,pickup,active,city-bike-1.webp;city-bike-2.webp
vitaliy,yablonovskiy,Транспорт / Велосипеды,Детский велосипед 20 дюймов,"На рост 120–140 см, примерно 6–10 лет. Приставные колёса есть, ставлю по просьбе. Тормоза и ручные, и ножной — ребёнку так спокойнее.",ул. Гагарина,300,document,,4,pickup,active,kids-bike-1.webp;kids-bike-2.webp
vitaliy,yablonovskiy,Транспорт / Велосипеды,Электровелосипед с запасом хода 70 км,"Мотор 500 Вт в заднем колесе, пять уровней помощи и ручка газа. До Краснодара через мост и обратно доезжает на одном заряде. Заряжается за четыре часа от обычной розетки.",ул. Гагарина,1200,money,8000,2,pickup;delivery,active,ebike-1.webp;ebike-2.webp
marina,yablonovskiy,Детские товары / Коляски,"Коляска-трость лёгкая, 6 кг","Берут в поездки и в самолёт: складывается одной рукой, вписывается в габариты ручной клади у большинства авиакомпаний. Спинка откидывается почти горизонтально, малыш поспит. Дождевик и москитка в комплекте.",ЖК Радуга,400,money,3000,2,pickup,active,stroller-1.webp;stroller-2.webp
marina,yablonovskiy,Детские товары / Автокресла,"Автокресло 9–18 кг, группа 1","Крепится штатным ремнём, ставится за пять минут — покажу, как правильно натянуть. Чехол снимается и стирается, стираю после каждого проката. Обычно берут гости на пару дней, когда приезжают с ребёнком.",ЖК Радуга,350,money,3000,2,pickup,active,car-seat-1.webp;car-seat-2.webp
marina,yablonovskiy,Детские товары / Стульчики для кормления,"Стульчик для кормления, складной","Высота в пять положений, столешница снимается и моется целиком. Складывается плоско и убирается за шкаф. Ремни пятиточечные, малыш не выберется.",ЖК Радуга,300,money,2000,2,pickup,active,high-chair-1.webp;high-chair-2.webp
marina,yablonovskiy,Детские товары / Игрушки,Манеж-кровать с пеленальным столиком,"Спальное место и манеж в одном, второй ярус для новорождённого снимается. Складывается в сумку-чехол, влезает в багажник. Матрасик свой обязательно — мой отдаю без него.",ЖК Радуга,400,money,3000,1,pickup,active,playpen-1.webp
marina,yablonovskiy,Одежда / Вечерняя одежда,"Вечернее платье в пол, размер 42–44","Тёмно-изумрудное, на тонких бретелях, с разрезом. Надевала один раз на свадьбу подруги. Отдаю в чехле, после проката отношу в химчистку сама — она входит в цену.",ЖК Радуга,1500,money,5000,1,pickup,active,dress-evening-1.webp
marina,yablonovskiy,Одежда / Свадебная одежда,"Свадебное платье А-силуэт, 44","Айвори, кружевной верх, юбка со шлейфом, который пристёгивается — на регистрацию с ним, на банкет без. Подъюбник и фата идут вместе. Мерить приглашаю к себе, подгонку по фигуре не делаю.",ЖК Радуга,5000,money,15000,1,pickup,active,dress-wedding-1.webp;dress-wedding-2.webp
madina,yablonovskiy,Одежда / Вечерняя одежда,"Коктейльное платье с пайетками, 46","Надевала на Новый год, больше повода не было. Длина до колена, рукав три четверти. Сидит по фигуре, но не в облипку.",ул. Дорожная,1200,money,4000,1,pickup,active,dress-cocktail-1.webp;dress-cocktail-2.webp
madina,krasnodar,Одежда / Вечерняя одежда,Платье для фотосессии с длинным шлейфом,"Пудровое, шлейф три метра — красиво летит на ветру, для съёмки в поле идеально. Размер свободный, 42–48 садится на всех.",ЮМР,2000,money,6000,1,pickup,active,dress-photo-1.webp;dress-photo-2.webp
